Goldmann	ORG
four	CARDINAL
20 degrees	QUANTITY
2	CARDINAL
1	CARDINAL
only one	CARDINAL
only one	CARDINAL
one	CARDINAL
6090	CARDINAL
20/70	CARDINAL
20/100	CARDINAL
two	CARDINAL
6090	CARDINAL
20/200	CARDINAL
15/200	CARDINAL
three	CARDINAL
6090	CARDINAL
5/200	CARDINAL
5/200	CARDINAL
only one	CARDINAL
20/40	CARDINAL
only one	CARDINAL
6065	CARDINAL
6066	DATE
2	CARDINAL
more than one	CARDINAL
3	CARDINAL
two	CARDINAL
5/200	CARDINAL
38	CARDINAL
1155	DATE
73	CARDINAL
66550, Nov. 10, 2008	DATE
83	CARDINAL
15321	DATE
10, 2018	DATE
